anio,cuenta,subcuenta,valor
"2007","1 - ADMINISTRACION GUBERNAMENTAL","11-Legislativa","623,2"
"2007","1 - ADMINISTRACION GUBERNAMENTAL","12-Judicial","2.044,5"
"2007","1 - ADMINISTRACION GUBERNAMENTAL","13-Dirección Superior Ejecutiva","819,2"
"2007","1 - ADMINISTRACION GUBERNAMENTAL","14-Relaciones Exteriores","1.205,3"
"2007","1 - ADMINISTRACION GUBERNAMENTAL","15-Relaciones Interiores","1.592,1"
"2007","1 - ADMINISTRACION GUBERNAMENTAL","16-Administración Fiscal","132,3"
"2007","1 - ADMINISTRACION GUBERNAMENTAL","17-Control de la Gestión Pública","103,2"
"2007","1 - ADMINISTRACION GUBERNAMENTAL","18-Información y Estadística Básicas","103,2"
"2007","2 - SERVICIOS DE DEFENSA Y SEGURIDAD","21-Defensa","4.141,1"
"2007","2 - SERVICIOS DE DEFENSA Y SEGURIDAD","22-Seguridad Interior","3.518,7"
"2007","2 - SERVICIOS DE DEFENSA Y SEGURIDAD","23-Sistema Penal","488,8"
"2007","2 - SERVICIOS DE DEFENSA Y SEGURIDAD","24-Inteligencia","524,5"
"2007","3 - SERVICIOS SOCIALES","31-Salud","5.074,1"
"2007","3 - SERVICIOS SOCIALES","32-Promoción y Asistencia Social","3.452,3"
"2007","3 - SERVICIOS SOCIALES","33-Seguridad Social","56.570,0"
"2007","3 - SERVICIOS SOCIALES","34-Educación y Cultura","11.156,5"
"2007","3 - SERVICIOS SOCIALES","35-Ciencia y Técnica","2.291,3"
"2007","3 - SERVICIOS SOCIALES","36-Trabajo","2.636,0"
"2007","3 - SERVICIOS SOCIALES","37-Vivienda y Urbanismo","3.123,8"
"2007","3 - SERVICIOS SOCIALES","38-Agua Potable y Alcantarillado","1.093,2"
"2007","3 - SERVICIOS SOCIALES","39-Otros Servicios Urbanos","0,0"
"2007","4 - SERVICIOS ECONOMICOS","41-Energía, Combustibles y Minería","9.935,8"
"2007","4 - SERVICIOS ECONOMICOS","42-Comunicaciones","412,6"
"2007","4 - SERVICIOS ECONOMICOS","43-Transporte","10.681,0"
"2007","4 - SERVICIOS ECONOMICOS","44-Ecología y Medio Ambiente","220,1"
"2007","4 - SERVICIOS ECONOMICOS","45-Agricultura","1.940,4"
