anio,cuenta,subcuenta,valor
"2008","1 - ADMINISTRACION GUBERNAMENTAL","11-Legislativa","828,2"
"2008","1 - ADMINISTRACION GUBERNAMENTAL","12-Judicial","2.824,8"
"2008","1 - ADMINISTRACION GUBERNAMENTAL","13-Dirección Superior Ejecutiva","1.243,2"
"2008","1 - ADMINISTRACION GUBERNAMENTAL","14-Relaciones Exteriores","1.747,3"
"2008","1 - ADMINISTRACION GUBERNAMENTAL","15-Relaciones Interiores","1.675,0"
"2008","1 - ADMINISTRACION GUBERNAMENTAL","16-Administración Fiscal","171,2"
"2008","1 - ADMINISTRACION GUBERNAMENTAL","17-Control de la Gestión Pública","135,7"
"2008","1 - ADMINISTRACION GUBERNAMENTAL","18-Información y Estadística Básicas","135,6"
"2008","2 - SERVICIOS DE DEFENSA Y SEGURIDAD","21-Defensa","5.006,0"
"2008","2 - SERVICIOS DE DEFENSA Y SEGURIDAD","22-Seguridad Interior","4.566,0"
"2008","2 - SERVICIOS DE DEFENSA Y SEGURIDAD","23-Sistema Penal","608,6"
"2008","2 - SERVICIOS DE DEFENSA Y SEGURIDAD","24-Inteligencia","641,8"
"2008","3 - SERVICIOS SOCIALES","31-Salud","6.724,4"
"2008","3 - SERVICIOS SOCIALES","32-Promoción y Asistencia Social","4.659,7"
"2008","3 - SERVICIOS SOCIALES","33-Seguridad Social","74.033,0"
"2008","3 - SERVICIOS SOCIALES","34-Educación y Cultura","13.445,7"
"2008","3 - SERVICIOS SOCIALES","35-Ciencia y Técnica","2.993,4"
"2008","3 - SERVICIOS SOCIALES","36-Trabajo","2.557,8"
"2008","3 - SERVICIOS SOCIALES","37-Vivienda y Urbanismo","3.758,2"
"2008","3 - SERVICIOS SOCIALES","38-Agua Potable y Alcantarillado","1.944,8"
"2008","3 - SERVICIOS SOCIALES","39-Otros Servicios Urbanos","0,0"
"2008","4 - SERVICIOS ECONOMICOS","41-Energía, Combustibles y Minería","18.999,4"
"2008","4 - SERVICIOS ECONOMICOS","42-Comunicaciones","587,4"
"2008","4 - SERVICIOS ECONOMICOS","43-Transporte","15.812,1"
"2008","4 - SERVICIOS ECONOMICOS","44-Ecología y Medio Ambiente","367,6"
"2008","4 - SERVICIOS ECONOMICOS","45-Agricultura","5.012,1"
"2008","4 - SERVICIOS ECONOMICOS","46-Industria","411,4"
"2008","4 - SERVICIOS ECONOMICOS","47-Comercio, Turismo y Otros Servicios","329,5"
"2008","4 - SERVICIOS ECONOMICOS","48-Seguros y Finanzas","84,2"
"2008","5 - DEUDA PUBLICA","51-Servicio de la Deuda Pública","21.669,9"
