TOTAL GASTOS
1 - ADMINISTRACION GUBERNAMENTAL
11-Legislativa
12-Judicial
13-Dirección Superior Ejecutiva
14-Relaciones Exteriores
15-Relaciones Interiores
16-Administración Fiscal
17-Control de la Gestión Pública
18-Información y Estadística Básicas
2 - SERVICIOS DE DEFENSA Y SEGURIDAD
21-Defensa
22-Seguridad Interior
23-Sistema Penal
24-Inteligencia
3 - SERVICIOS SOCIALES
31-Salud
32-Promoción y Asistencia Social
33-Seguridad Social
34-Educación y Cultura
35-Ciencia y Técnica
36-Trabajo
37-Vivienda y Urbanismo
38-Agua Potable y Alcantarillado
39-Otros Servicios Urbanos
4 - SERVICIOS ECONOMICOS
41-Energía, Combustibles y Minería
42-Comunicaciones
43-Transporte
44-Ecología y Medio Ambiente
45-Agricultura
46-Industria
47-Comercio, Turismo y Otros Servicios
48-Seguros y Finanzas
5 - DEUDA PUBLICA
51-Servicio de la Deuda Pública
249.914,1 218.940,8 27.033,7 10.695,6 25.944,9 83.091,7 6,7 72.168,2 30.973,3 10.065,8 19.731,3 1.176,2
16.874,6 12.483,1 6.202,2 2.249,7 0,2 0,0 0,4 4.030,6 4.391,5 270,4 3.187,1 934,0
1.069,3 1.059,2 922,2 121,8 0,0 0,0 0,0 15,2 10,1 10,1 0,0 0,0
3.605,7 3.482,0 3.181,2 237,1 0,0 0,0 0,1 63,6 123,7 123,1 0,6 0,0
2.255,0 2.051,1 507,0 1.222,9 0,0 0,0 0,1 321,1 203,9 28,3 175,6 0,0
2.193,6 1.230,3 788,3 231,9 0,0 0,0 0,0 210,1 963,3 28,7 0,7 933,9
7.176,6 4.116,8 404,3 296,1 0,0 0,0 0,1 3.416,3 3.059,8 49,5 3.010,2 0,1
237,4 214,0 137,3 72,6 0,0 0,0 0,0 4,1 23,4 23,4 0,0 0,0
176,3 170,1 152,1 17,8 0,1 0,0 0,1 0,0 6,2 6,2 0,0 0,0
160,7 159,6 109,8 49,5 0,1 0,0 0,0 0,2 1,1 1,1 0,0 0,0
14.728,9 14.000,1 10.942,7 3.017,7 0,1 0,0 4,0 35,6 728,8 593,5 58,2 77,1
6.209,9 6.034,5 4.539,3 1.485,8 0,1 0,0 2,7 6,6 175,4 98,0 0,3 77,1
6.691,1 6.240,2 5.284,7 948,3 0,0 0,0 1,3 5,9 450,9 406,0 44,9 0,0
1.026,2 925,5 642,6 259,8 0,0 0,0 0,0 23,1 100,7 87,7 13,0 0,0
801,7 799,9 476,1 323,8 0,0 0,0 0,0 0,0 1,8 1,8 0,0 0,0
146.681,2 135.235,5 7.838,3 4.035,7 6,9 83.091,7 1,8 40.261,1 11.445,7 1.607,8 9.750,0 87,9
9.375,3 8.912,5 1.686,4 1.565,8 0,0 0,0 0,0 5.660,3 462,8 264,2 197,5 1,1
6.930,5 5.799,7 499,3 423,4 0,0 0,0 0,2 4.876,8 1.130,8 9,3 1.118,8 2,7
98.398,6 98.307,6 1.565,9 722,8 4,3 83.091,7 0,2 12.922,7 91,0 91,0 0,0 0,0
17.144,3 15.602,9 1.886,7 525,0 0,0 0,0 0,4 13.190,8 1.541,4 152,4 1.387,4 1,6
4.038,5 3.355,6 1.911,9 666,2 2,1 0,0 0,4 775,0 682,9 571,7 63,9 47,3
2.911,9 2.787,3 251,5 112,4 0,5 0,0 0,6 2.422,3 124,6 12,1 112,5 0,0
5.295,6 31,2 15,5 10,7 0,0 0,0 0,0 5,0 5.264,4 0,1 5.264,3 0,0
2.586,5 438,7 21,1 9,4 0,0 0,0 0,0 408,2 2.147,8 507,0 1.605,6 35,2
0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0
45.526,9 31.119,6 2.050,5 1.226,3 1,4 0,0 0,5 27.840,9 14.407,3 7.594,1 6.736,0 77,2
17.578,8 13.792,7 166,7 173,3 0,0 0,0 0,0 13.452,7 3.786,1 13,6 3.718,5 54,0
1.315,7 863,5 135,2 62,2 0,0 0,0 0,0 666,1 452,2 7,2 445,0 0,0
20.869,9 11.067,0 775,2 276,5 0,0 0,0 0,3 10.015,0 9.802,9 7.292,3 2.510,6 0,0
536,6 409,5 157,8 162,9 0,0 0,0 0,1 88,7 127,1 106,0 12,9 8,2
4.165,9 4.082,1 445,7 208,2 0,2 0,0 0,1 3.427,9 83,8 59,8 24,0 0,0
556,6 480,0 215,4 134,9 0,0 0,0 0,0 129,7 76,6 54,5 7,1 15,0
415,9 339,1 103,3 190,6 1,2 0,0 0,0 44,0 76,8 58,9 17,9 0,0
87,5 85,7 51,2 17,7 0,0 0,0 0,0 16,8 1,8 1,8 0,0 0,0
26.102,5 26.102,5 0,0 166,2 25.936,3 0,0 0,0 0,0 0,0 0,0 0,0 0,0
26.102,5 26.102,5 0,0 166,2 25.936,3 0,0 0,0 0,0 0,0 0,0 0,0 0,0
