TOTAL GASTOS
1 - ADMINISTRACION GUBERNAMENTAL
11-Legislativa
12-Judicial
13-Dirección Superior Ejecutiva
14-Relaciones Exteriores
15-Relaciones Interiores
16-Administración Fiscal
17-Control de la Gestión Pública
18-Información y Estadística Básicas
2 - SERVICIOS DE DEFENSA Y SEGURIDAD
21-Defensa
22-Seguridad Interior
23-Sistema Penal
24-Inteligencia
3 - SERVICIOS SOCIALES
31-Salud
32-Promoción y Asistencia Social
33-Seguridad Social
34-Educación y Cultura
35-Ciencia y Técnica
36-Trabajo
37-Vivienda y Urbanismo
38-Agua Potable y Alcantarillado
39-Otros Servicios Urbanos
4 - SERVICIOS ECONOMICOS
41-Energía, Combustibles y Minería
42-Comunicaciones
43-Transporte
44-Ecología y Medio Ambiente
45-Agricultura
46-Industria
47-Comercio, Turismo y Otros Servicios
48-Seguros y Finanzas
5 - DEUDA PUBLICA
51-Servicio de la Deuda Pública
450.548,2 395.369,4 47.979,9 19.212,1 41.198,6 146.418,1 15,1 140.545,6 55.178,8 17.937,2 36.801,5 440,1
29.276,5 21.138,4 11.273,8 4.109,0 0,7 0,0 1,0 5.753,9 8.138,1 369,5 7.581,5 187,1
2.040,8 2.024,3 1.751,9 253,5 0,0 0,0 0,0 18,9 16,5 16,5 0,0 0,0
6.670,6 6.510,3 5.921,0 420,8 0,0 0,0 0,7 167,8 160,3 160,3 0,0 0,0
3.352,9 3.191,0 993,9 1.749,0 0,0 0,0 0,0 448,1 161,9 99,9 62,0 0,0
2.068,6 1.868,2 1.138,9 373,7 0,0 0,0 0,0 355,6 200,4 12,4 0,9 187,1
12.104,5 4.539,1 748,7 1.062,9 0,1 0,0 0,1 2.727,3 7.565,4 46,8 7.518,6 0,0
2.434,0 2.415,9 229,2 152,8 0,0 0,0 0,1 2.033,8 18,1 18,1 0,0 0,0
357,2 344,6 309,0 34,9 0,6 0,0 0,1 0,0 12,6 12,6 0,0 0,0
247,9 245,0 181,2 61,4 0,0 0,0 0,0 2,4 2,9 2,9 0,0 0,0
24.342,7 23.430,9 19.259,3 4.018,9 0,1 0,0 9,6 143,0 911,8 845,3 6,7 59,8
9.473,0 9.253,9 7.246,3 1.966,1 0,1 0,0 1,1 40,3 219,1 159,1 0,2 59,8
11.898,0 11.274,8 9.968,2 1.226,6 0,0 0,0 8,5 71,5 623,2 616,7 6,5 0,0
1.952,0 1.885,0 1.348,3 505,5 0,0 0,0 0,0 31,2 67,0 67,0 0,0 0,0
1.019,7 1.017,2 696,5 320,7 0,0 0,0 0,0 0,0 2,5 2,5 0,0 0,0
253.977,5 235.129,1 13.662,7 8.626,3 9,8 146.418,1 2,9 66.409,3 18.848,4 5.264,2 13.514,9 69,3
15.273,7 14.623,6 2.978,2 2.697,1 0,1 0,0 0,3 8.947,9 650,1 237,3 411,6 1,2
9.619,1 8.393,9 894,3 1.003,9 0,0 0,0 0,2 6.495,5 1.225,2 11,2 1.208,4 5,6
175.070,0 174.939,3 2.974,4 1.613,5 7,4 146.418,1 0,2 23.925,7 130,7 130,7 0,0 0,0
32.838,2 27.150,4 3.289,1 1.917,6 0,1 0,0 0,4 21.943,2 5.687,8 3.591,9 2.094,0 1,9
6.624,5 5.460,4 3.045,3 1.180,0 2,1 0,0 0,7 1.232,3 1.164,1 1.019,8 125,1 19,2
3.129,3 3.064,3 413,9 169,0 0,1 0,0 1,1 2.480,2 65,0 27,4 37,6 0,0
5.964,4 56,8 28,2 28,5 0,0 0,0 0,0 0,1 5.907,6 0,2 5.907,4 0,0
5.458,3 1.440,4 39,3 16,7 0,0 0,0 0,0 1.384,4 4.017,9 245,7 3.730,8 41,4
0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0
101.481,8 74.201,3 3.784,1 2.176,1 0,1 0,0 1,6 68.239,4 27.280,5 11.458,2 15.698,4 123,9
50.260,8 43.305,9 295,2 221,5 0,0 0,0 0,0 42.789,2 6.954,9 20,0 6.930,1 4,8
3.923,4 1.294,3 260,2 126,9 0,0 0,0 0,0 907,2 2.629,1 318,1 2.311,0 0,0
39.028,8 22.753,2 1.627,4 453,1 0,0 0,0 0,4 20.672,3 16.275,6 10.200,2 6.075,4 0,0
1.838,1 989,6 267,7 186,5 0,0 0,0 0,8 534,6 848,5 638,1 192,7 17,7
3.463,3 3.306,9 727,2 480,3 0,0 0,0 0,1 2.099,3 156,4 48,7 107,7 0,0
922,5 833,4 321,7 250,1 0,0 0,0 0,3 261,3 89,1 51,2 36,5 1,4
1.778,5 1.559,5 182,0 403,2 0,1 0,0 0,0 974,2 219,0 180,0 39,0 0,0
266,4 158,5 102,7 54,5 0,0 0,0 0,0 1,3 107,9 1,9 6,0 100,0
41.469,7 41.469,7 0,0 281,8 41.187,9 0,0 0,0 0,0 0,0 0,0 0,0 0,0
41.469,7 41.469,7 0,0 281,8 41.187,9 0,0 0,0 0,0 0,0 0,0 0,0 0,0
