cuenta,subcuenta,valor
"1 - ADMINISTRACION GUBERNAMENTAL","11-Legislativa","2.040,8"
"1 - ADMINISTRACION GUBERNAMENTAL","12-Judicial","6.670,6"
"1 - ADMINISTRACION GUBERNAMENTAL","13-Dirección Superior Ejecutiva","3.352,9"
"1 - ADMINISTRACION GUBERNAMENTAL","14-Relaciones Exteriores","2.068,6"
"1 - ADMINISTRACION GUBERNAMENTAL","15-Relaciones Interiores","12.104,5"
"1 - ADMINISTRACION GUBERNAMENTAL","16-Administración Fiscal","2.434,0"
"1 - ADMINISTRACION GUBERNAMENTAL","17-Control de la Gestión Pública","357,2"
"1 - ADMINISTRACION GUBERNAMENTAL","18-Información y Estadística Básicas","247,9"
"2 - SERVICIOS DE DEFENSA Y SEGURIDAD","21-Defensa","9.473,0"
"2 - SERVICIOS DE DEFENSA Y SEGURIDAD","22-Seguridad Interior","11.898,0"
"2 - SERVICIOS DE DEFENSA Y SEGURIDAD","23-Sistema Penal","1.952,0"
"2 - SERVICIOS DE DEFENSA Y SEGURIDAD","24-Inteligencia","1.019,7"
"3 - SERVICIOS SOCIALES","31-Salud","15.273,7"
"3 - SERVICIOS SOCIALES","32-Promoción y Asistencia Social","9.619,1"
"3 - SERVICIOS SOCIALES","33-Seguridad Social","175.070,0"
"3 - SERVICIOS SOCIALES","34-Educación y Cultura","32.838,2"
"3 - SERVICIOS SOCIALES","35-Ciencia y Técnica","6.624,5"
"3 - SERVICIOS SOCIALES","36-Trabajo","3.129,3"
"3 - SERVICIOS SOCIALES","37-Vivienda y Urbanismo","5.964,4"
"3 - SERVICIOS SOCIALES","38-Agua Potable y Alcantarillado","5.458,3"
"3 - SERVICIOS SOCIALES","39-Otros Servicios Urbanos","0,0"
"4 - SERVICIOS ECONOMICOS","41-Energía, Combustibles y Minería","50.260,8"
"4 - SERVICIOS ECONOMICOS","42-Comunicaciones","3.923,4"
"4 - SERVICIOS ECONOMICOS","43-Transporte","39.028,8"
"4 - SERVICIOS ECONOMICOS","44-Ecología y Medio Ambiente","1.838,1"
"4 - SERVICIOS ECONOMICOS","45-Agricultura","3.463,3"
"4 - SERVICIOS ECONOMICOS","46-Industria","922,5"
"4 - SERVICIOS ECONOMICOS","47-Comercio, Turismo y Otros Servicios","1.778,5"
"4 - SERVICIOS ECONOMICOS","48-Seguros y Finanzas","266,4"
"5 - DEUDA PUBLICA","51-Servicio de la Deuda Pública","41.469,7"
