TOTAL GASTOS
1 - ADMINISTRACION GUBERNAMENTAL
11-Legislativa
12-Judicial
13-Dirección Superior Ejecutiva
14-Relaciones Exteriores
15-Relaciones Interiores
16-Administración Fiscal
17-Control de la Gestión Pública
18-Información y Estadística Básicas
2 - SERVICIOS DE DEFENSA Y SEGURIDAD
21-Defensa
22-Seguridad Interior
23-Sistema Penal
24-Inteligencia
3 - SERVICIOS SOCIALES
31-Salud
32-Promoción y Asistencia Social
33-Seguridad Social
34-Educación y Cultura
35-Ciencia y Técnica
36-Trabajo
37-Vivienda y Urbanismo
38-Agua Potable y Alcantarillado
39-Otros Servicios Urbanos
4 - SERVICIOS ECONOMICOS
41-Energía, Combustibles y Minería
42-Comunicaciones
43-Transporte
44-Ecología y Medio Ambiente
45-Agricultura
46-Industria
47-Comercio, Turismo y Otros Servicios
48-Seguros y Finanzas
5 - DEUDA PUBLICA
51-Servicio de la Deuda Pública
142.421,1 124.394,2 14.909,3 5.908,9 17.178,7 50.634,3 21,2 35.741,8 18.026,9 6.673,1 9.374,2 1.979,6
6.623,0 6.126,2 3.642,6 1.067,8 0,4 0,0 0,5 1.414,9 496,8 121,8 181,9 193,1
623,2 620,5 549,3 58,9 0,0 0,0 0,0 12,3 2,7 2,7 0,0 0,0
2.044,5 1.998,3 1.839,1 127,1 0,0 0,0 0,2 31,9 46,2 46,2 0,0 0,0
819,2 777,2 279,5 465,2 0,0 0,0 0,1 32,4 42,0 36,2 5,8 0,0
1.205,3 997,7 552,2 167,4 0,0 0,0 0,0 278,1 207,6 13,9 0,7 193,0
1.592,1 1.409,1 190,8 161,0 0,0 0,0 0,1 1.057,2 183,0 7,5 175,4 0,1
132,3 123,4 86,1 34,3 0,0 0,0 0,0 3,0 8,9 8,9 0,0 0,0
103,2 98,1 86,7 11,3 0,0 0,0 0,1 0,0 5,1 5,1 0,0 0,0
103,2 101,9 58,9 42,6 0,4 0,0 0,0 0,0 1,3 1,3 0,0 0,0
8.673,1 8.343,7 6.399,0 1.854,5 0,1 0,0 19,2 70,9 329,4 327,1 2,2 0,1
4.141,1 4.003,2 2.922,5 1.069,5 0,1 0,0 4,0 7,1 137,9 137,8 0,0 0,1
3.518,7 3.346,5 2.846,2 435,8 0,0 0,0 15,2 49,3 172,2 170,0 2,2 0,0
488,8 470,2 304,2 151,5 0,0 0,0 0,0 14,5 18,6 18,6 0,0 0,0
524,5 523,8 326,1 197,7 0,0 0,0 0,0 0,0 0,7 0,7 0,0 0,0
85.397,2 79.004,7 3.833,1 2.165,7 1,7 50.634,3 1,4 22.368,5 6.392,5 912,4 5.350,9 129,2
5.074,1 4.918,4 822,1 801,5 0,1 0,0 0,0 3.294,7 155,7 93,4 62,3 0,0
3.452,3 3.000,2 255,0 255,7 0,0 0,0 0,0 2.489,5 452,1 5,8 441,6 4,7
56.570,0 56.527,1 533,1 345,2 0,0 50.634,3 0,1 5.014,4 42,9 42,9 0,0 0,0
11.156,5 10.011,7 1.048,6 267,0 0,0 0,0 0,5 8.695,6 1.144,8 50,0 1.093,8 1,0
2.291,3 1.893,0 1.021,7 389,2 1,4 0,0 0,7 480,0 398,3 267,9 39,1 91,3
2.636,0 2.596,1 130,5 87,3 0,2 0,0 0,1 2.378,0 39,9 11,1 28,8 0,0
3.123,8 27,1 9,2 4,5 0,0 0,0 0,0 13,4 3.096,7 0,1 3.096,6 0,0
1.093,2 31,1 12,9 15,3 0,0 0,0 0,0 2,9 1.062,1 441,2 588,7 32,2
0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0
24.474,5 13.666,3 1.034,6 744,0 0,1 0,0 0,1 11.887,5 10.808,2 5.311,8 3.839,2 1.657,2
9.935,8 6.648,0 84,1 61,5 0,0 0,0 0,0 6.502,4 3.287,8 4,6 2.321,3 961,9
412,6 380,1 74,6 40,6 0,0 0,0 0,0 264,9 32,5 6,6 25,9 0,0
10.681,0 4.034,5 315,6 203,3 0,0 0,0 0,1 3.515,5 6.646,5 5.187,8 1.458,7 0,0
220,1 178,9 83,8 50,6 0,0 0,0 0,0 44,5 41,2 30,9 10,3 0,0
1.940,4 1.928,5 277,3 147,7 0,1 0,0 0,0 1.503,4 11,9 11,7 0,2 0,0
817,1 244,4 115,6 87,9 0,0 0,0 0,0 40,9 572,7 29,7 7,7 535,3
258,4 204,9 56,1 138,1 0,0 0,0 0,0 10,7 53,5 38,4 15,1 0,0
209,1 47,0 27,5 14,3 0,0 0,0 0,0 5,2 162,1 2,1 0,0 160,0
17.253,3 17.253,3 0,0 76,9 17.176,4 0,0 0,0 0,0 0,0 0,0 0,0 0,0
17.253,3 17.253,3 0,0 76,9 17.176,4 0,0 0,0 0,0 0,0 0,0 0,0 0,0
