TOTAL GASTOS
1 - ADMINISTRACION GUBERNAMENTAL
11-Legislativa
12-Judicial
13-Dirección Superior Ejecutiva
14-Relaciones Exteriores
15-Relaciones Interiores
16-Administración Fiscal
17-Control de la Gestión Pública
18-Información y Estadística Básicas
2 - SERVICIOS DE DEFENSA Y SEGURIDAD
21-Defensa
22-Seguridad Interior
23-Sistema Penal
24-Inteligencia
3 - SERVICIOS SOCIALES
31-Salud
32-Promoción y Asistencia Social
33-Seguridad Social
34-Educación y Cultura
35-Ciencia y Técnica
36-Trabajo
37-Vivienda y Urbanismo
38-Agua Potable y Alcantarillado
39-Otros Servicios Urbanos
4 - SERVICIOS ECONOMICOS
41-Energía, Combustibles y Minería
42-Comunicaciones
43-Transporte
44-Ecología y Medio Ambiente
45-Agricultura
46-Industria
47-Comercio, Turismo y Otros Servicios
48-Seguros y Finanzas
5 - DEUDA PUBLICA
51-Servicio de la Deuda Pública
192.974,0 169.747,7 19.683,2 7.538,2 21.585,2 64.415,8 14,4 56.510,9 23.226,3 9.038,1 13.266,5 921,7
8.761,0 7.737,4 4.770,6 1.327,4 0,4 0,0 0,4 1.638,6 1.023,6 183,4 213,3 626,9
828,2 822,5 719,6 88,0 0,0 0,0 0,0 14,9 5,7 5,7 0,0 0,0
2.824,8 2.727,3 2.504,2 174,5 0,0 0,0 0,2 48,4 97,5 97,5 0,0 0,0
1.243,2 1.061,5 356,9 666,4 0,0 0,0 0,0 38,2 181,7 16,3 165,4 0,0
1.747,3 1.091,5 634,7 195,4 0,0 0,0 0,0 261,4 655,8 28,2 0,7 626,9
1.675,0 1.611,2 248,7 90,5 0,0 0,0 0,1 1.271,9 63,8 16,6 47,2 0,0
171,2 162,4 110,1 48,6 0,0 0,0 0,0 3,7 8,8 8,8 0,0 0,0
135,7 126,5 114,4 12,0 0,0 0,0 0,1 0,0 9,2 9,2 0,0 0,0
135,6 134,5 82,0 52,0 0,4 0,0 0,0 0,1 1,1 1,1 0,0 0,0
10.822,4 10.377,4 7.786,8 2.542,0 0,1 0,0 12,1 36,4 445,0 442,2 2,8 0,0
5.006,0 4.851,0 3.431,9 1.392,9 0,0 0,0 6,2 20,0 155,0 154,6 0,4 0,0
4.566,0 4.306,0 3.611,1 674,8 0,1 0,0 5,9 14,1 260,0 257,6 2,4 0,0
608,6 578,9 381,8 194,8 0,0 0,0 0,0 2,3 29,7 29,7 0,0 0,0
641,8 641,5 362,0 279,5 0,0 0,0 0,0 0,0 0,3 0,3 0,0 0,0
110.117,0 102.089,8 5.566,9 2.613,0 1,9 64.415,8 1,5 29.490,7 8.027,2 1.155,7 6.728,4 143,1
6.724,4 6.475,7 1.273,8 946,2 0,0 0,0 0,2 4.255,5 248,7 66,2 181,6 0,9
4.659,7 4.028,0 358,8 266,0 0,0 0,0 0,1 3.403,1 631,7 5,3 621,7 4,7
74.033,0 73.979,8 933,3 379,8 0,0 64.415,8 0,2 8.250,7 53,2 53,2 0,0 0,0
13.445,7 12.349,8 1.381,7 339,7 0,0 0,0 0,5 10.627,9 1.095,9 68,6 1.026,1 1,2
2.993,4 2.461,4 1.412,9 560,4 1,9 0,0 0,3 485,9 532,0 372,7 39,7 119,6
2.557,8 2.432,4 178,1 99,5 0,0 0,0 0,2 2.154,6 125,4 66,9 58,5 0,0
3.758,2 27,9 12,4 7,1 0,0 0,0 0,0 8,4 3.730,3 0,1 3.730,2 0,0
1.944,8 334,8 15,9 14,3 0,0 0,0 0,0 304,6 1.610,0 522,7 1.070,6 16,7
0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0
41.603,7 27.873,2 1.558,9 968,6 0,1 0,0 0,4 25.345,2 13.730,5 7.256,8 6.322,0 151,7
18.999,4 14.220,9 123,9 92,2 0,0 0,0 0,1 14.004,7 4.778,5 26,0 4.674,3 78,2
587,4 518,7 102,7 39,2 0,0 0,0 0,0 376,8 68,7 5,4 63,3 0,0
15.812,1 7.199,3 607,9 236,5 0,0 0,0 0,3 6.354,6 8.612,8 7.039,5 1.533,3 40,0
367,6 267,3 126,0 108,2 0,0 0,0 0,0 33,1 100,3 63,2 18,6 18,5
5.012,1 4.990,2 332,5 183,1 0,1 0,0 0,0 4.474,5 21,9 21,9 0,0 0,0
411,4 328,7 152,4 124,7 0,0 0,0 0,0 51,6 82,7 56,6 11,1 15,0
329,5 265,4 76,1 168,5 0,0 0,0 0,0 20,8 64,1 42,7 21,4 0,0
84,2 82,7 37,4 16,2 0,0 0,0 0,0 29,1 1,5 1,5 0,0 0,0
21.669,9 21.669,9 0,0 87,2 21.582,7 0,0 0,0 0,0 0,0 0,0 0,0 0,0
21.669,9 21.669,9 0,0 87,2 21.582,7 0,0 0,0 0,0 0,0 0,0 0,0 0,0
